STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,20,FLOW,20181004 1700,20181004 1700,3, ,CFS
KCK,H,20,FLOW,20181004 1800,20181004 1800,3, ,CFS
KCK,H,20,FLOW,20181004 1900,20181004 1900,3, ,CFS
KCK,H,20,FLOW,20181004 2000,20181004 2000,3, ,CFS
KCK,H,20,FLOW,20181004 2100,20181004 2100,3, ,CFS
KCK,H,20,FLOW,20181004 2200,20181004 2200,3, ,CFS
KCK,H,20,FLOW,20181004 2300,20181004 2300,3, ,CFS
KCK,H,20,FLOW,20181005 0000,20181005 0000,3, ,CFS
KCK,H,20,FLOW,20181005 0100,20181005 0100,3, ,CFS
KCK,H,20,FLOW,20181005 0200,20181005 0200,3, ,CFS
KCK,H,20,FLOW,20181005 0300,20181005 0300,3, ,CFS
KCK,H,20,FLOW,20181005 0400,20181005 0400,3, ,CFS
KCK,H,20,FLOW,20181005 0500,20181005 0500,3, ,CFS
KCK,H,20,FLOW,20181005 0600,20181005 0600,3, ,CFS
KCK,H,20,FLOW,20181005 0700,20181005 0700,3, ,CFS
KCK,H,20,FLOW,20181005 0800,20181005 0800,3, ,CFS
KCK,H,20,FLOW,20181005 0900,20181005 0900,3, ,CFS
KCK,H,20,FLOW,20181005 1000,20181005 1000,3, ,CFS
KCK,H,20,FLOW,20181005 1100,20181005 1100,3, ,CFS
KCK,H,20,FLOW,20181005 1200,20181005 1200,3, ,CFS
KCK,H,20,FLOW,20181005 1300,20181005 1300,3, ,CFS
KCK,H,20,FLOW,20181005 1400,20181005 1400,3, ,CFS
KCK,H,20,FLOW,20181005 1500,20181005 1500,3, ,CFS
KCK,H,20,FLOW,20181005 1600,20181005 1600,3, ,CFS
KCK,H,20,FLOW,20181005 1700,20181005 1700,3, ,CFS
KCK,H,20,FLOW,20181005 1800,20181005 1800,3, ,CFS
KCK,H,20,FLOW,20181005 1900,20181005 1900,3, ,CFS
KCK,H,20,FLOW,20181005 2000,20181005 2000,3, ,CFS
KCK,H,20,FLOW,20181005 2100,20181005 2100,3, ,CFS
KCK,H,20,FLOW,20181005 2200,20181005 2200,3, ,CFS
KCK,H,20,FLOW,20181005 2300,20181005 2300,3, ,CFS
KCK,H,20,FLOW,20181006 0000,20181006 0000,3, ,CFS
KCK,H,20,FLOW,20181006 0100,20181006 0100,3, ,CFS
KCK,H,20,FLOW,20181006 0200,20181006 0200,3, ,CFS
KCK,H,20,FLOW,20181006 0300,20181006 0300,3, ,CFS
KCK,H,20,FLOW,20181006 0400,20181006 0400,3, ,CFS
KCK,H,20,FLOW,20181006 0500,20181006 0500,3, ,CFS
KCK,H,20,FLOW,20181006 0600,20181006 0600,3, ,CFS
KCK,H,20,FLOW,20181006 0700,20181006 0700,3, ,CFS
KCK,H,20,FLOW,20181006 0800,20181006 0800,3, ,CFS
KCK,H,20,FLOW,20181006 0900,20181006 0900,3, ,CFS
KCK,H,20,FLOW,20181006 1000,20181006 1000,3, ,CFS
KCK,H,20,FLOW,20181006 1100,20181006 1100,3, ,CFS
KCK,H,20,FLOW,20181006 1200,20181006 1200,3, ,CFS
KCK,H,20,FLOW,20181006 1300,20181006 1300,3, ,CFS
KCK,H,20,FLOW,20181006 1400,20181006 1400,3, ,CFS
KCK,H,20,FLOW,20181006 1500,20181006 1500,3, ,CFS
KCK,H,20,FLOW,20181006 1600,20181006 1600,3, ,CFS
KCK,H,20,FLOW,20181006 1700,20181006 1700,3, ,CFS
KCK,H,20,FLOW,20181006 1800,20181006 1800,3, ,CFS
KCK,H,20,FLOW,20181006 1900,20181006 1900,3, ,CFS
KCK,H,20,FLOW,20181006 2000,20181006 2000,3, ,CFS
KCK,H,20,FLOW,20181006 2100,20181006 2100,3, ,CFS
KCK,H,20,FLOW,20181006 2200,20181006 2200,3, ,CFS
KCK,H,20,FLOW,20181006 2300,20181006 2300,3, ,CFS
KCK,H,20,FLOW,20181007 0000,20181007 0000,3, ,CFS
KCK,H,20,FLOW,20181007 0100,20181007 0100,3, ,CFS
KCK,H,20,FLOW,20181007 0200,20181007 0200,3, ,CFS
KCK,H,20,FLOW,20181007 0300,20181007 0300,3, ,CFS
KCK,H,20,FLOW,20181007 0400,20181007 0400,3, ,CFS
KCK,H,20,FLOW,20181007 0500,20181007 0500,3, ,CFS
KCK,H,20,FLOW,20181007 0600,20181007 0600,3, ,CFS
KCK,H,20,FLOW,20181007 0700,20181007 0700,3, ,CFS
KCK,H,20,FLOW,20181007 0800,20181007 0800,3, ,CFS
KCK,H,20,FLOW,20181007 0900,20181007 0900,3, ,CFS
KCK,H,20,FLOW,20181007 1000,20181007 1000,3, ,CFS
KCK,H,20,FLOW,20181007 1100,20181007 1100,3, ,CFS
KCK,H,20,FLOW,20181007 1200,20181007 1200,3, ,CFS
KCK,H,20,FLOW,20181007 1300,20181007 1300,3, ,CFS
KCK,H,20,FLOW,20181007 1400,20181007 1400,3, ,CFS
KCK,H,20,FLOW,20181007 1500,20181007 1500,3, ,CFS
KCK,H,20,FLOW,20181007 1600,20181007 1600,3, ,CFS
KCK,H,20,FLOW,20181007 1700,20181007 1700,3, ,CFS
KCK,H,20,FLOW,20181007 1800,20181007 1800,3, ,CFS
KCK,H,20,FLOW,20181007 1900,20181007 1900,3, ,CFS
KCK,H,20,FLOW,20181007 2000,20181007 2000,3, ,CFS
KCK,H,20,FLOW,20181007 2100,20181007 2100,3, ,CFS
KCK,H,20,FLOW,20181007 2200,20181007 2200,3, ,CFS
KCK,H,20,FLOW,20181007 2300,20181007 2300,3, ,CFS
KCK,H,20,FLOW,20181008 0000,20181008 0000,3, ,CFS
KCK,H,20,FLOW,20181008 0100,20181008 0100,3, ,CFS
KCK,H,20,FLOW,20181008 0200,20181008 0200,3, ,CFS
KCK,H,20,FLOW,20181008 0300,20181008 0300,3, ,CFS
KCK,H,20,FLOW,20181008 0400,20181008 0400,3, ,CFS
KCK,H,20,FLOW,20181008 0500,20181008 0500,3, ,CFS
KCK,H,20,FLOW,20181008 0600,20181008 0600,3, ,CFS
KCK,H,20,FLOW,20181008 0700,20181008 0700,3, ,CFS
KCK,H,20,FLOW,20181008 0800,20181008 0800,3, ,CFS
KCK,H,20,FLOW,20181008 0900,20181008 0900,3, ,CFS
KCK,H,20,FLOW,20181008 1000,20181008 1000,3, ,CFS
KCK,H,20,FLOW,20181008 1100,20181008 1100,3, ,CFS
KCK,H,20,FLOW,20181008 1200,20181008 1200,3, ,CFS
KCK,H,20,FLOW,20181008 1300,20181008 1300,3, ,CFS
KCK,H,20,FLOW,20181008 1400,20181008 1400,3, ,CFS
KCK,H,20,FLOW,20181008 1500,20181008 1500,3, ,CFS
KCK,H,20,FLOW,20181008 1600,20181008 1600,3, ,CFS
KCK,H,20,FLOW,20181008 1700,20181008 1700,3, ,CFS
KCK,H,20,FLOW,20181008 1800,20181008 1800,3, ,CFS
KCK,H,20,FLOW,20181008 1900,20181008 1900,3, ,CFS
KCK,H,20,FLOW,20181008 2000,20181008 2000,3, ,CFS
KCK,H,20,FLOW,20181008 2100,20181008 2100,3, ,CFS
KCK,H,20,FLOW,20181008 2200,20181008 2200,3, ,CFS
KCK,H,20,FLOW,20181008 2300,20181008 2300,3, ,CFS
KCK,H,20,FLOW,20181009 0000,20181009 0000,3, ,CFS
KCK,H,20,FLOW,20181009 0100,20181009 0100,3, ,CFS
KCK,H,20,FLOW,20181009 0200,20181009 0200,3, ,CFS
KCK,H,20,FLOW,20181009 0300,20181009 0300,3, ,CFS
KCK,H,20,FLOW,20181009 0400,20181009 0400,3, ,CFS
