STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,1,RIV STG,20181006 0400,20181006 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181006 0500,20181006 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181006 0600,20181006 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181006 0700,20181006 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181006 0800,20181006 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181006 0900,20181006 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1000,20181006 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1100,20181006 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1200,20181006 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1300,20181006 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1400,20181006 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1500,20181006 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1600,20181006 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1700,20181006 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1800,20181006 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181006 1900,20181006 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181006 2000,20181006 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181006 2100,20181006 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181006 2200,20181006 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181006 2300,20181006 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0000,20181007 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0100,20181007 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0200,20181007 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0300,20181007 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0400,20181007 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0500,20181007 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0600,20181007 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0700,20181007 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0800,20181007 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181007 0900,20181007 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1000,20181007 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1100,20181007 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1200,20181007 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1300,20181007 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1400,20181007 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1500,20181007 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1600,20181007 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1700,20181007 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1800,20181007 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181007 1900,20181007 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181007 2000,20181007 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181007 2100,20181007 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181007 2200,20181007 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181007 2300,20181007 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0000,20181008 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0100,20181008 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0200,20181008 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0300,20181008 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0400,20181008 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181008 0500,20181008 0500,27.48, ,FEET
